Dependency metrics,sexta, 7 nov. 2025 11:40:11 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
mindustry.entities.UnitSorts,909,3,1 151,4,1 076,2,4
mindustry.entities.Units,909,19,1 151,55,1 076,10,20
mindustry.entities.Units.UnitSyncContainer,0,0,0,2,1 077,0,2
mindustry.entities.abilities.Ability,909,2,1 151,21,1 076,2,6
mindustry.entities.abilities.ArmorPlateAbility,909,3,1 151,1,1 076,2,1
mindustry.entities.abilities.EnergyFieldAbility,909,16,1 151,2,1 076,10,2
mindustry.entities.abilities.ForceFieldAbility,909,8,1 151,4,1 076,7,2
mindustry.entities.abilities.LiquidExplodeAbility,909,8,1 151,2,1 076,8,2
mindustry.entities.abilities.LiquidRegenAbility,909,9,1 151,2,1 076,8,2
mindustry.entities.abilities.MoveEffectAbility,909,4,1 151,3,1 076,4,2
mindustry.entities.abilities.MoveLightningAbility,909,6,1 151,1,1 076,5,1
mindustry.entities.abilities.RegenAbility,909,1,1 151,2,1 076,1,2
mindustry.entities.abilities.RepairFieldAbility,909,5,1 151,2,1 076,4,2
mindustry.entities.abilities.ShieldArcAbility,909,11,1 151,3,1 076,8,2
mindustry.entities.abilities.ShieldRegenFieldAbility,909,5,1 151,2,1 076,4,2
mindustry.entities.abilities.SpawnDeathAbility,909,5,1 151,2,1 076,5,2
mindustry.entities.abilities.StatusFieldAbility,909,8,1 151,2,1 076,7,2
mindustry.entities.abilities.SuppressionFieldAbility,909,6,1 151,2,1 076,5,2
mindustry.entities.abilities.UnitSpawnAbility,909,12,1 151,2,1 076,10,2
mindustry.entities.bullet.ArtilleryBulletType,909,3,1 151,2,1 076,2,2
mindustry.entities.bullet.BasicBulletType,909,2,1 151,13,1 076,2,3
mindustry.entities.bullet.BombBulletType,909,2,1 151,1,1 076,1,1
mindustry.entities.bullet.BulletType,909,37,1 151,70,1 076,15,18
mindustry.entities.bullet.ContinuousBulletType,909,4,1 151,6,1 076,3,4
mindustry.entities.bullet.ContinuousFlameBulletType,909,7,1 151,2,1 076,4,2
mindustry.entities.bullet.ContinuousLaserBulletType,909,6,1 151,2,1 076,4,2
mindustry.entities.bullet.EmpBulletType,909,8,1 151,2,1 076,5,2
mindustry.entities.bullet.EmptyBulletType,909,1,1 151,1,1 076,1,1
mindustry.entities.bullet.ExplosionBulletType,909,2,1 151,1,1 076,2,1
mindustry.entities.bullet.FireBulletType,909,5,1 151,1,1 076,4,1
mindustry.entities.bullet.FlakBulletType,909,4,1 151,3,1 076,3,2
mindustry.entities.bullet.InterceptorBulletType,909,3,1 151,1,1 076,2,1
mindustry.entities.bullet.LaserBoltBulletType,909,4,1 151,1,1 076,3,1
mindustry.entities.bullet.LaserBulletType,909,7,1 151,3,1 076,4,2
mindustry.entities.bullet.LightningBulletType,909,5,1 151,1,1 076,4,1
mindustry.entities.bullet.LiquidBulletType,909,9,1 151,2,1 076,7,2
mindustry.entities.bullet.MassDriverBolt,909,13,1 151,4,1 076,8,3
mindustry.entities.bullet.MissileBulletType,909,3,1 151,1,1 076,2,1
mindustry.entities.bullet.MultiBulletType,909,3,1 151,2,1 076,3,1
mindustry.entities.bullet.PointBulletType,909,5,1 151,1,1 076,4,1
mindustry.entities.bullet.PointLaserBulletType,909,7,1 151,1,1 076,5,1
mindustry.entities.bullet.RailBulletType,909,4,1 151,3,1 076,3,2
mindustry.entities.bullet.SapBulletType,909,6,1 151,2,1 076,4,2
mindustry.entities.bullet.ShrapnelBulletType,909,5,1 151,3,1 076,4,2
mindustry.entities.bullet.SpaceLiquidBulletType,909,3,1 151,1,1 076,3,1
mindustry.entities.comp.BlockUnitComp,0,2,1 152,0,0,2,0
mindustry.entities.comp.BuilderComp,0,25,1 153,0,0,14,0
mindustry.entities.comp.BuildingComp,0,76,1 154,0,0,26,0
mindustry.entities.comp.BuildingTetherComp,0,2,1 152,0,0,2,0
mindustry.entities.comp.BulletComp,0,14,1 152,0,0,9,0
mindustry.entities.comp.ChildComp,0,1,1,0,0,1,0
mindustry.entities.comp.CrawlComp,0,14,1 152,0,0,8,0
mindustry.entities.comp.DamageComp,0,0,0,0,0,0,0
mindustry.entities.comp.DecalComp,0,1,1,0,0,1,0
mindustry.entities.comp.DrawComp,0,0,0,0,0,0,0
mindustry.entities.comp.EffectStateComp,0,1,1 152,0,0,1,0
mindustry.entities.comp.ElevationMoveComp,0,2,1 152,0,0,1,0
mindustry.entities.comp.EntityComp,0,2,1 152,0,0,2,0
mindustry.entities.comp.FireComp,0,22,1 152,0,0,12,0
mindustry.entities.comp.HealthComp,0,0,0,0,0,0,0
mindustry.entities.comp.HitboxComp,0,1,1,0,0,1,0
mindustry.entities.comp.ItemsComp,0,2,1 152,0,0,1,0
mindustry.entities.comp.LaunchCoreComp,0,6,1 152,0,0,4,0
mindustry.entities.comp.LegsComp,0,19,1 153,0,0,10,0
mindustry.entities.comp.MechComp,0,6,1 152,0,0,6,0
mindustry.entities.comp.MinerComp,0,15,1 152,0,0,10,0
mindustry.entities.comp.OwnerComp,0,0,0,0,0,0,0
mindustry.entities.comp.PayloadComp,0,21,1 152,0,0,10,0
mindustry.entities.comp.PhysicsComp,0,1,2,0,0,1,0
mindustry.entities.comp.PlayerComp,0,27,1 153,0,0,15,0
mindustry.entities.comp.PosComp,0,6,1 152,0,0,5,0
mindustry.entities.comp.PosTeamDef,0,0,0,0,0,0,0
mindustry.entities.comp.PowerGraphUpdaterComp,0,1,1,0,0,1,0
mindustry.entities.comp.PuddleComp,0,11,1 152,0,0,7,0
mindustry.entities.comp.RotComp,0,0,0,0,0,0,0
mindustry.entities.comp.SegmentComp,0,3,1 152,0,0,3,0
mindustry.entities.comp.ShieldComp,0,8,1 152,0,0,6,0
mindustry.entities.comp.ShielderComp,0,0,0,0,0,0,0
mindustry.entities.comp.StatusComp,0,11,1 152,0,0,7,0
mindustry.entities.comp.SyncComp,0,3,1 152,0,0,3,0
mindustry.entities.comp.TankComp,0,14,1 152,0,0,10,0
mindustry.entities.comp.TeamComp,0,7,1 152,0,0,4,0
mindustry.entities.comp.TimedComp,0,0,0,0,0,0,0
mindustry.entities.comp.TimedKillComp,0,0,0,0,0,0,0
mindustry.entities.comp.TimerComp,0,0,0,0,0,0,0
mindustry.entities.comp.UnderwaterMoveComp,0,4,1 152,0,0,4,0
mindustry.entities.comp.UnitComp,0,56,1 153,0,0,23,0
mindustry.entities.comp.UnitTetherComp,0,2,1 152,0,0,2,0
mindustry.entities.comp.VelComp,0,4,1 152,0,0,3,0
mindustry.entities.comp.WaterCrawlComp,0,7,1 152,0,0,5,0
mindustry.entities.comp.WaterMoveComp,0,11,1 152,0,0,8,0
mindustry.entities.comp.WeaponsComp,0,5,1 152,0,0,3,0
mindustry.entities.comp.WorldLabelComp,0,5,1 152,0,0,4,0
mindustry.entities.effect.ExplosionEffect,909,4,1 151,3,1 076,2,2
mindustry.entities.effect.MultiEffect,909,1,1 151,5,1 076,1,3
mindustry.entities.effect.ParticleEffect,909,3,1 151,2,1 076,2,1
mindustry.entities.effect.RadialEffect,909,2,1 151,2,1 076,2,2
mindustry.entities.effect.SeqEffect,909,3,1 151,1,1 076,1,1
mindustry.entities.effect.SoundEffect,909,1,1 151,1,1 076,1,1
mindustry.entities.effect.WaveEffect,909,3,1 151,3,1 076,2,2
mindustry.entities.effect.WrapEffect,909,3,1 151,5,1 076,2,4
mindustry.entities.part.DrawPart,0,1,1,15,1 079,1,7
mindustry.entities.part.DrawPart.PartMove,0,1,3,4,1 077,1,3
mindustry.entities.part.DrawPart.PartParams,0,0,0,15,1 082,0,6
mindustry.entities.part.EffectSpawnerPart,909,8,1 151,1,1 076,6,1
mindustry.entities.part.FlarePart,909,6,1 151,2,1 076,2,2
mindustry.entities.part.HaloPart,909,4,1 151,2,1 076,2,2
mindustry.entities.part.HoverPart,0,2,2,2,1 077,1,2
mindustry.entities.part.RegionPart,909,8,1 151,5,1 076,2,3
mindustry.entities.part.ShapePart,0,3,4,3,1 077,1,2
mindustry.entities.pattern.ShootAlternate,0,2,3,3,1 077,1,2
mindustry.entities.pattern.ShootBarrel,0,3,4,2,1 077,1,2
mindustry.entities.pattern.ShootHelix,0,3,3,3,1 077,2,2
mindustry.entities.pattern.ShootMulti,0,4,4,2,1 077,2,2
mindustry.entities.pattern.ShootPattern,0,1,2,14,1 084,1,5
mindustry.entities.pattern.ShootSine,0,2,3,1,1 077,1,1
mindustry.entities.pattern.ShootSpread,0,2,3,3,1 077,1,2
mindustry.entities.pattern.ShootSummon,0,2,3,2,1 077,1,2
mindustry.entities.units.AIController,909,15,1 151,20,1 076,11,5
mindustry.entities.units.BuildPlan,909,10,1 151,77,1 076,5,27
mindustry.entities.units.StatusEntry,909,1,1 151,5,1 076,1,4
mindustry.entities.units.WeaponMount,909,2,1 151,11,1 076,2,4
mindustry.game.AttackIndicators,0,0,0,2,1 077,0,2
mindustry.game.AttackIndicators.IndicatorStruct,0,0,0,0,0,0,0
mindustry.game.CampaignRules,909,7,1 151,11,1 076,4,8
mindustry.game.Difficulty,0,0,0,4,1 077,0,4
mindustry.game.EventType,0,0,0,1,1,0,1
mindustry.game.EventType.AdminRequestEvent,0,1,1,1,1 077,1,1
mindustry.game.EventType.AtlasPackEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.BlockBuildBeginEvent,909,2,1 151,2,1 076,2,2
mindustry.game.EventType.BlockBuildEndEvent,909,2,1 151,6,1 076,2,6
mindustry.game.EventType.BlockDestroyEvent,909,1,1 151,3,1 076,1,3
mindustry.game.EventType.BlockInfoEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.BuildDamageEvent,0,0,0,3,1 077,0,3
mindustry.game.EventType.BuildRotateEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.BuildSelectEvent,0,2,1 152,1,1,2,1
mindustry.game.EventType.BuildTeamChangeEvent,909,1,1 151,2,1 076,1,2
mindustry.game.EventType.BuildingBulletDestroyEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.BuildingCommandEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.ClientChatEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.ClientCreateEvent,0,0,0,2,2,0,2
mindustry.game.EventType.ClientLoadEvent,0,0,0,14,1 077,0,11
mindustry.game.EventType.ClientPreConnectEvent,909,1,1 151,2,1 076,1,2
mindustry.game.EventType.ClientServerConnectEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.ConfigEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.ConnectPacketEvent,909,2,1 151,1,1 076,1,1
mindustry.game.EventType.ConnectionEvent,909,1,1 151,1,1 076,1,1
mindustry.game.EventType.ContentInitEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.CoreChangeEvent,909,1,1 151,3,1 076,1,3
mindustry.game.EventType.CoreItemDeliverEvent,0,0,0,0,0,0,0
mindustry.game.EventType.DepositEvent,909,1,1 151,1,1 076,1,1
mindustry.game.EventType.DisposeEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.FileTreeInitEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.GameOverEvent,909,1,1 151,3,1 076,1,2
mindustry.game.EventType.GeneratorPressureExplodeEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.HostEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.LaunchItemEvent,909,1,1 151,2,1 076,1,2
mindustry.game.EventType.LineConfirmEvent,0,0,0,2,1 077,0,1
mindustry.game.EventType.LoseEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.MapMakeEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.MapPublishEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.MenuOptionChooseEvent,0,0,0,1,1,0,1
mindustry.game.EventType.ModContentLoadEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.MusicRegisterEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.PayloadDropEvent,0,0,0,3,1 077,0,3
mindustry.game.EventType.PickupEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.PlayEvent,0,0,0,3,1 077,0,2
mindustry.game.EventType.PlayerBanEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.PlayerChatEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.PlayerConnect,0,0,0,1,1 077,0,1
mindustry.game.EventType.PlayerConnectionConfirmed,0,0,0,1,1 077,0,1
mindustry.game.EventType.PlayerIpBanEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.PlayerIpUnbanEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.PlayerJoin,0,0,0,2,1 077,0,2
mindustry.game.EventType.PlayerLeave,0,0,0,1,1 077,0,1
mindustry.game.EventType.PlayerUnbanEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.ResearchEvent,909,1,1 151,2,1 076,1,2
mindustry.game.EventType.ResetEvent,0,0,0,20,1 077,0,12
mindustry.game.EventType.ResizeEvent,0,0,0,4,1 077,0,3
mindustry.game.EventType.SaveLoadEvent,0,0,0,3,1 077,0,2
mindustry.game.EventType.SaveWriteEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.SchematicCreateEvent,909,1,1 151,2,1 076,1,2
mindustry.game.EventType.SectorCaptureEvent,909,1,1 151,5,1 076,1,4
mindustry.game.EventType.SectorInvasionEvent,909,1,1 151,2,1 076,1,2
mindustry.game.EventType.SectorLaunchEvent,909,1,1 151,2,1 076,1,2
mindustry.game.EventType.SectorLaunchLoadoutEvent,909,2,1 151,2,1 076,2,2
mindustry.game.EventType.SectorLoseEvent,909,1,1 151,3,1 076,1,3
mindustry.game.EventType.ServerLoadEvent,0,0,0,2,2,0,1
mindustry.game.EventType.StateChangeEvent,0,1,1,4,1 077,1,2
mindustry.game.EventType.TapEvent,909,1,1 151,1,1 076,1,1
mindustry.game.EventType.TextInputEvent,0,0,0,1,1,0,1
mindustry.game.EventType.TileChangeEvent,909,1,1 151,8,1 076,1,5
mindustry.game.EventType.TileFloorChangeEvent,909,2,1 151,2,1 076,2,2
mindustry.game.EventType.TileOverlayChangeEvent,909,2,1 151,2,1 076,2,2
mindustry.game.EventType.TilePreChangeEvent,909,1,1 151,6,1 076,1,4
mindustry.game.EventType.Trigger,0,0,0,40,1 077,0,24
mindustry.game.EventType.TurnEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.TurretAmmoDeliverEvent,0,0,0,0,0,0,0
mindustry.game.EventType.UnitBulletDestroyEvent,0,0,0,3,1 077,0,3
mindustry.game.EventType.UnitChangeEvent,0,0,0,1,1,0,1
mindustry.game.EventType.UnitControlEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.UnitCreateEvent,0,0,0,6,1 077,0,5
mindustry.game.EventType.UnitDamageEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.UnitDestroyEvent,0,0,0,6,1 077,0,5
mindustry.game.EventType.UnitDrownEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.UnitSpawnEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.UnitUnloadEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.UnlockEvent,909,1,1 151,6,1 076,1,5
mindustry.game.EventType.WaveEvent,0,0,0,7,1 077,0,5
mindustry.game.EventType.WinEvent,0,0,0,2,1 077,0,2
mindustry.game.EventType.WithdrawEvent,909,1,1 151,2,1 076,1,2
mindustry.game.EventType.WorldLoadBeginEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.WorldLoadEndEvent,0,0,0,1,1 077,0,1
mindustry.game.EventType.WorldLoadEvent,0,0,0,20,1 077,0,9
mindustry.game.FogControl,909,23,1 151,14,1 076,8,10
mindustry.game.FogControl.DynamicFogThread,909,1,1 151,1,1 076,1,1
mindustry.game.FogControl.FogData,909,1,1 151,1,1 076,1,1
mindustry.game.FogControl.FogEventStruct,0,0,0,0,0,0,0
mindustry.game.FogControl.StaticFogThread,909,1,1 151,1,1 076,1,1
mindustry.game.GameStats,909,2,1 151,10,1 076,2,6
mindustry.game.Gamemode,909,4,1 151,15,1 076,2,7
mindustry.game.MapMarkers,909,2,1 151,5,1 076,2,3
mindustry.game.MapObjectives,909,25,1 151,15,1 076,4,7
mindustry.game.MapObjectives.BuildCountObjective,909,7,1 151,1,1 076,6,1
mindustry.game.MapObjectives.CommandModeObjective,909,4,1 151,1,1 076,4,1
mindustry.game.MapObjectives.CoreItemObjective,909,7,1 151,1,1 076,6,1
mindustry.game.MapObjectives.DestroyBlockObjective,909,7,1 151,1,1 076,6,1
mindustry.game.MapObjectives.DestroyBlocksObjective,909,8,1 151,1,1 076,6,1
mindustry.game.MapObjectives.DestroyCoreObjective,909,5,1 151,1,1 076,3,1
mindustry.game.MapObjectives.DestroyUnitsObjective,909,4,1 151,1,1 076,3,1
mindustry.game.MapObjectives.FlagObjective,909,5,1 151,1,1 076,4,1
mindustry.game.MapObjectives.ItemObjective,909,9,1 151,1,1 076,7,1
mindustry.game.MapObjectives.LineMarker,909,5,1 151,1,1 076,4,1
mindustry.game.MapObjectives.MapObjective,909,4,1 151,25,1 076,3,6
mindustry.game.MapObjectives.ObjectiveMarker,909,6,1 151,18,1 076,5,6
mindustry.game.MapObjectives.PointMarker,909,4,1 151,1,1 076,3,1
mindustry.game.MapObjectives.PosMarker,909,3,1 151,6,1 076,3,1
mindustry.game.MapObjectives.ProduceObjective,909,3,1 151,1,1 076,3,1
mindustry.game.MapObjectives.QuadMarker,909,5,1 151,1,1 076,3,1
mindustry.game.MapObjectives.ResearchObjective,909,3,1 151,1,1 076,3,1
mindustry.game.MapObjectives.ShapeMarker,909,4,1 151,1,1 076,3,1
mindustry.game.MapObjectives.ShapeTextMarker,909,4,1 151,1,1 076,3,1
mindustry.game.MapObjectives.TextMarker,909,3,1 151,1,1 076,2,1
mindustry.game.MapObjectives.TextureMarker,909,5,1 151,1,1 076,3,1
mindustry.game.MapObjectives.TimerObjective,909,5,1 151,1,1 076,4,1
mindustry.game.MapObjectives.UnitCountObjective,909,9,1 151,1,1 076,6,1
mindustry.game.Objectives,0,0,0,1,1 077,0,1
mindustry.game.Objectives.OnPlanet,909,4,1 151,2,1 076,3,2
mindustry.game.Objectives.OnSector,909,4,1 151,3,1 076,3,2
